# -----------------------------------------------,,,,,,,
TradeStation Historical Balances Report,,,,,,,
Dates: 10/20/2025 - 7/6/2026,,,,,,
Account: 210TGG51,,,,,,,
Type: Futures,,,,,,,
Alias: AMF MNQRdr GG51,,,,,,,
# -----------------------------------------------,,,,,,,
,,,,,,,
,,,,,,,
Date,Net Worth,Cash Balance,Unrealized P/L,Securities on Deposit,Initial Margin Req.,Maint Margin Req.,Buying Power/Margin Deficit
10/20/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/21/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/22/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/23/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/24/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/27/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/28/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/29/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/30/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
10/31/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
11/3/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
11/4/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
11/5/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
11/6/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
11/7/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
11/10/2025,"$30,000.00 ","$30,000.00 ","$0.00 ","$0.00 ","$0.00 ","$0.00 ","$30,000.00 "
